ID,total_length,mass,grav_time,distance,shuttles,Tpref,Tavoid_lower,Tavoid_upper,pref_range,time_near_max,time_near_min,time_near_limits,study_ID
1,14,30,3.935277778,13358.74186,96.66285164,19.8443847,18.47219261,21.51655118,3.044358573,0,0,0,Fish_1_13_3
2,12.7,28,3.963888889,12599.94702,114.7572028,20.05439998,18.48400074,21.21841254,2.734411803,0,0,0,Fish_2_13_2
3,12.5,22,3.617222222,22308.83674,93.16992254,20.06634656,18.73885323,20.88207287,2.143219637,0,0,0,Fish_3_20_3_rev
4,12.9,27,4.788333333,19816.9015,82.6188522,18.53578461,17.21512409,19.6053539,2.39022981,0,0,0,Fish_4_20_3_rev
5,11.2,16,3.937777778,21400.4763,122.6562967,20.36957945,19.20577054,21.34256987,2.136799329,0,0,0,Fish_5_20_2_rev
6,13.9,29,3.460833333,16928.99494,43.08451573,16.87928183,15.21685803,19.00941596,3.792557922,0,0,0,Fish_6_13_3_rev
7,14.7,32,3.922777778,10507.03158,46.04651163,18.02286606,16.49682089,19.27654411,2.779723222,0,0,0,Fish_7_13_3
8,14.6,38,0.001666667,31620,20.58016286,24.26649244,14.10310875,24.61639301,10.51328426,59.54933507,0,59.54933507,Fish_8_13_2
9,13.7,33,3.716666667,13651.3991,38.10520162,19.95483406,18.15319621,21.135203,2.982006789,0,0,0,Fish_9_20_3
10,12.1,21,3.949722222,10477.77481,44.12302071,21.01994476,19.40475099,22.01432783,2.609576843,0,0,0,Fish_10_20_2
11,11.7,21,4.102222222,13113.82882,58.90187209,18.15034047,15.87082126,20.80593389,4.935112637,0,0,0,Fish_11_13_2_long
12,15.2,42,3.830555556,25375.52806,79.93733241,20.30335875,19.06664483,21.26452473,2.197879903,0,0,0,Fish_12_20_3
13,15.6,38,4.224444444,17531.82483,13.99591559,7.244692883,6.94407134,13.36969501,6.425623672,0,18.79888057,18.79888057,Fish_13_13_3
14,14.5,35,3.731388889,17283.08196,63.70861529,17.10402001,15.36136002,18.73877625,3.377416226,0,0,0,Fish_14_13_2
15,12.7,22,4.873055556,24458.70946,86.34297521,19.62582188,17.81698766,20.36235448,2.545366815,0,0,0,Fish_15_20_2
16,17.5,55,3.923611111,19651.68765,21.06981764,18.35776223,16.41440098,20.33601662,3.921615643,0,0,0,Fish_16_20_3
17,12.6,23,3.738333333,27567.83861,65.29889024,15.48440873,6.119808454,21.76675509,15.64694664,0.093257484,27.89175915,27.98501663,Fish_17_20_2_rev
18,15.2,46,2.788055556,18904.14626,121.1605416,17.55454618,15.60715353,18.96219271,3.355039173,0,0,0,Fish_18_13_3_rev
